index	mirror	version	speed_mib_s	url
1	Aliyun	6.15	15.70	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.15.tar.xz
2	Aliyun	6.12	12.83	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.12.tar.xz
3	Aliyun	6.14	9.88	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.14.tar.xz
4	Aliyun	6.2	9.15	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.2.tar.xz
5	Aliyun	6.1	7.86	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.1.tar.xz
6	Aliyun	6.18	7.35	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.18.tar.xz
7	Aliyun	6.6	6.55	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.6.tar.xz
8	Aliyun	6.7	6.08	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.7.tar.xz
9	Aliyun	6.3	5.71	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.3.tar.xz
10	Aliyun	6.13	5.59	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.13.tar.xz
11	Aliyun	6.16	5.53	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.16.tar.xz
12	Aliyun	6.4	4.54	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.4.tar.xz
13	SJTU	6.12	3.89	https://mirror.sjtu.edu.cn/kernel/v6.x/linux-6.12.tar.xz
14	SJTUG	6.15	3.76	https://mirrors.sjtug.sjtu.edu.cn/kernel/v6.x/linux-6.15.tar.xz
15	SJTU	6.10	3.66	https://mirror.sjtu.edu.cn/kernel/v6.x/linux-6.10.tar.xz
16	SJTUG	6.2	3.60	https://mirrors.sjtug.sjtu.edu.cn/kernel/v6.x/linux-6.2.tar.xz
17	SJTU	6.5	3.59	https://mirror.sjtu.edu.cn/kernel/v6.x/linux-6.5.tar.xz
18	Aliyun	6.5	3.55	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.5.tar.xz
19	SJTUG	6.8	3.52	https://mirrors.sjtug.sjtu.edu.cn/kernel/v6.x/linux-6.8.tar.xz
20	SJTU	6.15	3.30	https://mirror.sjtu.edu.cn/kernel/v6.x/linux-6.15.tar.xz
21	TUNA	6.13	3.28	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.13.tar.xz
22	TUNA	6.14	3.26	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.14.tar.xz
23	TUNA	6.5	3.21	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.5.tar.xz
24	TUNA	6.12	3.21	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.12.tar.xz
25	TUNA	6.9	3.16	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.9.tar.xz
26	TUNA	6.1	3.13	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.1.tar.xz
27	TUNA	6.4	3.12	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.4.tar.xz
28	Aliyun	6.10	3.07	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.10.tar.xz
29	TUNA	6.18	3.07	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.18.tar.xz
30	TUNA	6.3	3.05	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.3.tar.xz
31	TUNA	6.6	3.04	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.6.tar.xz
32	TUNA	6.7	3.03	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.7.tar.xz
33	TUNA	6.11	3.02	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.11.tar.xz
34	Aliyun	6.17	3.01	https://mirrors.aliyun.com/linux-kernel/v6.x/linux-6.17.tar.xz
35	TUNA	6.16	2.97	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.16.tar.xz
36	TUNA	6.2	2.97	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.2.tar.xz
37	TUNA	6.15	2.96	https://mirrors.tuna.tsinghua.edu.cn/kernel/v6.x/linux-6.15.tar.xz
38	BFSU	6.5	2.72	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.5.tar.xz
39	NetEase	6.14	2.71	https://mirrors.163.com/kernel/v6.x/linux-6.14.tar.xz
40	NetEase	6.8	2.70	https://mirrors.163.com/kernel/v6.x/linux-6.8.tar.xz
41	BFSU	6.6	2.70	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.6.tar.xz
42	BFSU	6.15	2.67	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.15.tar.xz
43	BFSU	6.8	2.66	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.8.tar.xz
44	BFSU	6.14	2.64	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.14.tar.xz
45	NetEase	6.4	2.64	https://mirrors.163.com/kernel/v6.x/linux-6.4.tar.xz
46	BFSU	6.16	2.64	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.16.tar.xz
47	BFSU	6.2	2.63	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.2.tar.xz
48	BFSU	6.12	2.61	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.12.tar.xz
49	BFSU	6.9	2.59	https://mirrors.bfsu.edu.cn/kernel/v6.x/linux-6.9.tar.xz
50	NetEase	6.3	2.57	https://mirrors.163.com/kernel/v6.x/linux-6.3.tar.xz
